t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
1.0,0.7886981729437085,0.8272320979366746,0.8472607535494834,0.8711363473540934,0.8951636625824606,0.041834657990725777,0.05202798265941272,0.06219648489842008,0.07055275129552835,0.0872231431325189,1.0532266562691561,1.4137971875570132,1.824567578935748,2.135810711509041,2.8742252764554896
2.0,0.6982919618469475,0.7673346382926667,0.8014029231734994,0.8425591056256941,0.8839569514106904,0.07573549027850296,0.10494464490086809,0.13341358812459053,0.1568804134151585,0.20557604794782042,0.5088618858294709,0.7651754598087601,1.119922186137926,1.3598012192837128,2.0545774609660103
3.0,0.6428093974111857,0.7338128042122364,0.7791239071768039,0.8340110915963124,0.8847528818111566,0.09044301989349014,0.1335400344648924,0.18044833778437544,0.2188698940007296,0.2982105833457991,0.25668269695659857,0.4271118650324961,0.6951526752650543,0.8588781204867765,1.4202274446889587
4.0,0.595921611499599,0.7119413280523225,0.7668987073557406,0.8342272708655908,0.8918748158183272,0.09377817318880215,0.14640784895209227,0.20848402744238778,0.25831656100005096,0.3664144540110647,0.13593788983501073,0.24064783515193364,0.43733365191484935,0.5455098808607808,0.9959406283798514
5.0,0.5599724311238717,0.6976485853365467,0.7595373165275863,0.8377346877715479,0.9003452002175112,0.09116814905338563,0.1501104490888729,0.22524483775930995,0.2832611542934646,0.4179146242988979,0.0755853249535497,0.14188797416254353,0.2797485659107021,0.3498638296118787,0.6804439139102483
6.0,0.5330383609031425,0.6888734094819366,0.7553783613360892,0.843749236236149,0.9096537074841105,0.08444343735137251,0.14818909969933497,0.23497095184927094,0.2996818684857697,0.45565267146497535,0.04488807271390177,0.08683633376589021,0.1836133247739824,0.2290201953858744,0.4597313123554653
7.0,0.5016833329094609,0.6820907209939974,0.752680789571221,0.8503574551163727,0.9190734898224098,0.0770962114990797,0.14446346910553232,0.24102845163455794,0.31062236005473093,0.48898230458260217,0.029067201447629223,0.05613334634826355,0.12381489200806949,0.15370451755287362,0.3222853731867092
8.0,0.4778025236667529,0.6715658711903939,0.7506006987791952,0.8559782537401093,0.9271119919304371,0.07000756249558522,0.14032713216631565,0.24514358501921485,0.32374926696729006,0.5174833120677982,0.019597506907055647,0.039300417175523725,0.08764049821154023,0.10804485110592149,0.23216686322639007
9.0,0.46427263296344146,0.6643974122678056,0.7503463063757658,0.864080421783809,0.9346443604928953,0.06349043905111133,0.13324808991882842,0.24664824862925294,0.3318514560749645,0.5312296098384433,0.014026860247705504,0.028870234399381845,0.06485152335647436,0.07961838684548912,0.1719850007105309
