t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1.0,0.08944156983921349,0.14179745385229908,0.1925702568578839,0.23726873128145923,0.31401957447731904,0.14864344740169178,0.16547278281493447,0.17607452798996462,0.18726361042106188,0.2010781831483371,2.858461582955367,4.40666487158832,6.593424356801305,8.06210145227684,12.440982666411925
2.0,0.0583310926864155,0.09936676641664217,0.14879781449034496,0.18787726478533695,0.27192672615221675,0.284823506315574,0.31622540352799855,0.3321121480061352,0.3514033197378834,0.36913904424231103,1.6080324006697588,2.9974928311687927,5.626936438524772,7.06479410498073,13.23352100848445
3.0,0.05858988234295788,0.11011570129371258,0.17005131781627986,0.21961751490645426,0.3128389040638275,0.3482039763874844,0.3899760244802156,0.40964845837615405,0.43457814366197667,0.4549003671721806,1.0016752698704043,2.1269627732230423,4.90062151553207,6.191857677926437,13.007613356083214
4.0,0.062120468033359716,0.12676616963076898,0.20296570746355017,0.2665550526198708,0.38250162970105156,0.3614856135296504,0.4138904814229536,0.440110048043354,0.47211967937609617,0.49842339554132925,0.6596998871162364,1.5604087580333383,4.249865183609612,5.244498485328201,12.52559550025199
5.0,0.06543605354841522,0.14696679017245953,0.23917373724104693,0.3194965027747891,0.4528863709253691,0.34853354208836856,0.41213782661031767,0.4453508684450241,0.485765333607181,0.5191938056607476,0.44628115701225823,1.1368429143160939,3.704249798293829,4.416060187156884,11.811463374693313
6.0,0.07071720641025998,0.16767313123553634,0.2772954578745293,0.37615642301951996,0.5218402668707534,0.3192670635710378,0.39526800751182606,0.43723158511623256,0.48715366634319196,0.5286624176885195,0.3165940987912355,0.8562279328289968,3.242391723580703,3.6882910442729604,11.073254059182618
7.0,0.0771055723353748,0.19386408564291965,0.31695327295483144,0.43210505810887645,0.5875604595676426,0.28579679089058607,0.37034062905968995,0.42186463055568935,0.4804826478138187,0.5316740356109376,0.22999611105162773,0.6327307243279909,2.8200248448938083,3.057253706272745,9.745470625799683
8.0,0.08377560197954055,0.2211359522941577,0.3569216936719978,0.4870467816436591,0.6431039932545497,0.2522246667009201,0.3407895223043183,0.40264384961345295,0.46995264138832576,0.531841064274483,0.1704777423409389,0.48868631478467955,2.4315461759777737,2.4910688552516085,9.177614400610297
9.0,0.09493745241071146,0.2531387198345805,0.3968914464582448,0.5399351785112735,0.6912499109403604,0.2205852200348151,0.3118712390182577,0.38145112571635326,0.45574495865032155,0.5293917530924569,0.12813920893267444,0.37752982096730126,2.049761681763314,2.0967824919961364,7.665692058317609
