t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
1.0,0.08828770682379206,0.15440735909557088,0.21981383492355336,0.27827658597816507,0.37557605624282037,0.17043685893332194,0.19603301403863047,0.21304530242259456,0.23083098020629347,0.25294289363729194,0.48554751498754056,0.8076534446477003,1.3668853191920032,1.6928904246998364,2.9115061761979506
2.0,0.0586334772698847,0.11201072849812731,0.17774395881584143,0.2311402949828633,0.34163172974033074,0.3210800685663779,0.3719531651441988,0.3990929027565934,0.43102992897591735,0.45910747262220925,0.20470457064870595,0.4411234069796105,1.0035061131145222,1.2458078848347445,2.6325538695486452
3.0,0.06421825463314555,0.13013366899728215,0.20545226810793524,0.2669399094608781,0.38729470876727357,0.3858048451472027,0.45597927813753264,0.4889001326608501,0.529318959016722,0.5629916898397741,0.10160520958139165,0.2543236162546325,0.763802188508742,0.9224194036146903,2.3128026279968488
4.0,0.07671643087947681,0.16201370874996276,0.2489423596730448,0.32628719081351953,0.45116999773578403,0.39623778359288736,0.4795189912999352,0.5202935450875251,0.5702447800344589,0.6122081704097033,0.05395692319224321,0.15356189559507133,0.5742836744677685,0.6576332654505319,1.8959040067131614
5.0,0.0910077884210902,0.20286841427898472,0.29988591890155436,0.39166129230842045,0.5228170925298312,0.3759887371300982,0.4673537682997492,0.5183439389633312,0.5783374451004981,0.6320876226047274,0.03411257447062971,0.0976113726577018,0.4309257922829622,0.4676803690909733,1.5282427574735797
6.0,0.11168628729344517,0.24773821884066283,0.3531573998556381,0.4574390673077271,0.5931499443043723,0.33765616338933,0.4362295451138945,0.4987119248818733,0.5677965553320509,0.637109227219668,0.022731616408616116,0.0645325969132341,0.3189433967879261,0.328974062190701,1.1302982123174796
7.0,0.13941368391844652,0.2967358849407632,0.40694645164173887,0.5195085032317354,0.6505049002880013,0.29335582767955587,0.3995820544990584,0.4695098778233401,0.5458591672326082,0.6303901587404024,0.016965725359662415,0.04506323760677008,0.2359404166146938,0.23487936907917362,0.8604856886782989
8.0,0.17239685783701345,0.35068693631364534,0.45923703972179003,0.5783019367921772,0.7045115258448508,0.25291039344899846,0.3564243576036471,0.43602936167019213,0.5173282808165085,0.6161659372197534,0.012819521021102726,0.033800976538414046,0.18050534433776835,0.17138798197605318,0.6312546350894804
9.0,0.2082171634194997,0.40379654344733423,0.509442930804644,0.631078918640027,0.7484102261267176,0.21648263151448138,0.31576878629840704,0.4005703467598084,0.48344519456034,0.5981742558037685,0.010644417372852127,0.026421165423177535,0.14209007985609198,0.12696456453453714,0.4972518316971291
