t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04
1.0,0.9713127430234241,0.9713734796301412,0.971416360724487,0.9714589573435993,0.9715181973560773,0.00682614623464079,0.006841008559531206,0.006851672661317418,0.006862220528287803,0.006877762363174308,0.08556224246292432,0.08561889943222313,0.08565889150604697,0.0856988732545804,0.08575743830476751
2.0,0.9402422763611109,0.9404027567763823,0.9405116936788342,0.9406217717941798,0.9407762031495811,0.020590896618741757,0.020650278042520523,0.020690783076247932,0.020731735935402895,0.020791652777497522,0.10986196323318233,0.10995070191876026,0.11001258301103643,0.11007357839063173,0.11016419821727842
3.0,0.914817453562748,0.9150681076208143,0.9152381373118481,0.9154105315906512,0.9156581277191363,0.0341882358808509,0.034299329373130426,0.03437618127065812,0.03445221037481684,0.03456348165439056,0.1279874013494706,0.12810772913974092,0.1281918492813187,0.12827487991991834,0.12839791248400403
4.0,0.8952078464116434,0.8955190751422991,0.895738676640563,0.8959535896076289,0.896275165032241,0.045389972631021056,0.04554588682561843,0.04565219426362936,0.04575910341190765,0.0459104299971751,0.14271455148717174,0.14287055305295882,0.1429775571846162,0.14308567402076955,0.1432405874626852
5.0,0.8802592555745763,0.8806370587912393,0.8808917063949547,0.8811465517433692,0.8815127631411022,0.054118193653357884,0.05430160061746465,0.05443310066875923,0.05456374721966166,0.054755136843668804,0.1543082689326833,0.15449821478351802,0.1546282199929321,0.15475887949708955,0.15494635728845965
6.0,0.8690262171473084,0.8694312034609917,0.869717507000228,0.8699989285349656,0.8704058766669703,0.06076294927257347,0.06097491233147283,0.06112111708173552,0.061270398455171,0.06147880961898431,0.16311908736882386,0.16333013006988176,0.16347876631692584,0.1636295282426864,0.16385160415066755
7.0,0.8606553629538266,0.861100016105238,0.8614003086971677,0.8616989818138943,0.8621462833316971,0.06574814900260513,0.06598624269246525,0.06614636342371719,0.06630955550947823,0.06653938151832219,0.16965796350131188,0.16989451387665988,0.17005418521850574,0.17021686811349715,0.1704486933929618
8.0,0.8545333323477279,0.8549659001546036,0.8552881865622326,0.8556004838942829,0.8560647515631382,0.0694532210928721,0.06970543098642794,0.0698720356480365,0.07004545937765384,0.07027846864799041,0.17445153701187932,0.17469632468870602,0.17486939281724306,0.17504804010998518,0.17528249628641016
9.0,0.8500381591668724,0.8505035876908547,0.8508365649258324,0.8511694228576973,0.8516448058256091,0.07216768615032595,0.07242519080005123,0.0726054759536545,0.07278737908858593,0.07304098407642136,0.1779341700643418,0.17819563106687775,0.17837210561769712,0.17854819742452677,0.17880500728211793
