t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04
1.0,0.9782798098879585,0.9784452502094481,0.9785541270730603,0.9786656157550163,0.9788219091592647,0.005151248660630346,0.005182442609380175,0.005205167935495005,0.005227645266245662,0.005260863274953163,0.03439644319644825,0.03480271713785069,0.035105824465945526,0.03540821476955566,0.03585183998500828
2.0,0.9675623919443057,0.9679028809733292,0.9681207860038653,0.9683478361448976,0.9686572816878621,0.011140162278110818,0.011236588942044028,0.011306682946305298,0.011375593897415387,0.011478475841382476,0.03245258329457528,0.03293473858076001,0.033292625302499525,0.0336397154122829,0.034188300639410536
3.0,0.9624124512484942,0.9628585845030104,0.9631587703735617,0.9634654869859025,0.9638828035907454,0.014648829039430626,0.014799160083285766,0.014910190978277066,0.015019100576446889,0.015185182113338245,0.03296974426652297,0.0335455802445641,0.033946974770104145,0.034347945942310526,0.03492763089206493
4.0,0.9591658644087683,0.9596942226522581,0.9600641108706353,0.9604409112395602,0.9609525961786403,0.016586531699148536,0.01678698969981476,0.016931571238357594,0.017074152223865564,0.017282698699549882,0.034761349690012086,0.03539559342764355,0.035861803643542876,0.03631691206483106,0.03697124802812633
5.0,0.9563140541819326,0.9569293423260192,0.9573615304360509,0.9578040846160497,0.9584042721267232,0.017924670288263955,0.018162464931592924,0.018340076231332776,0.018511218176559218,0.01876042229050773,0.036984420842906984,0.037701997080402394,0.03821907222186098,0.03873577142065974,0.039482834323682534
6.0,0.9534254233159358,0.9541541832572622,0.9546461937187267,0.9551460763402236,0.9558460265929206,0.01910771689021636,0.019387841934004675,0.019592505246167412,0.019795053801179525,0.020079450536980275,0.039277396130378235,0.04009981647486276,0.04066592299208463,0.041227576505280104,0.042093585641099454
7.0,0.9505224865083989,0.9513432936374091,0.9518993410097831,0.9524743596606455,0.953274822441872,0.02027084188082615,0.02059609885242894,0.02082718834781294,0.021055750147904114,0.021389917017267106,0.04148972825766252,0.04241088069417389,0.04305194878085441,0.043681354445294966,0.044652103545372364
8.0,0.9476124621359509,0.9485621516622693,0.9491897008323851,0.9498293287912798,0.9507169652855094,0.02142721536524991,0.021792619130880795,0.02205475054008218,0.022310701128556588,0.02269546571146933,0.04363503415468832,0.04459966373271345,0.04531533548238915,0.04601061462359817,0.047123089478059745
9.0,0.9448197434559097,0.9458819221857876,0.9465755268969818,0.9472882229503669,0.94824852971776,0.02255189912300749,0.022957587856183827,0.023253340384719837,0.023542000049429124,0.023983478555363758,0.045646844239274335,0.046674607105099464,0.04746164332139932,0.04821496967610586,0.049387184769361984
10.0,0.9421722944603328,0.9433456941581073,0.9440917887826553,0.9448746333712196,0.9459280894100452,0.02363783477008318,0.024073540908689343,0.024403942502373127,0.02472055115894183,0.025218312464087678,0.047499007187176846,0.04861729376550708,0.04946108388441862,0.05027696828694227,0.05151917343464374
11.0,0.9396815521273336,0.9409348345565985,0.9417659902690665,0.9426149296713711,0.9437200214203895,0.02465847624400078,0.025129526407917144,0.02549158130878268,0.025833969726969427,0.026372575602382257,0.0491937294357647,0.050404438439803474,0.0513076507533102,0.05217776345653525,0.05352418837023728
12.0,0.9373858119965716,0.9387396364255675,0.9396133545763952,0.9405318866821298,0.9417189504827829,0.025618085492003475,0.026115497822124956,0.0265057191717505,0.026882745606398674,0.027444381160949147,0.05075513050116999,0.05204551706067022,0.05300695326142812,0.05393889751854764,0.055342210197180594
13.0,0.9353073282316412,0.9366973031865423,0.9376316470217528,0.9386045664450231,0.9398756361312783,0.02648965798583508,0.027027823890231506,0.027443777913378358,0.027842999188651123,0.028440485393370234,0.052184654685240084,0.05358481258512623,0.054561892711052856,0.05552409696909329,0.05698382872786262
14.0,0.9334002339475257,0.9348334486857849,0.9358136986992213,0.9368123418472827,0.9381874721964013,0.027280120940815812,0.027871333294195652,0.028306259405718622,0.028728135026694933,0.029358047690385622,0.05355100588702147,0.05495488069549002,0.05599510465472883,0.056996923883897384,0.05855037136466599
15.0,0.9315699826721137,0.9331396549513802,0.9341551910079042,0.935199228443954,0.9366176070189659,0.0280232411167408,0.02864430998301662,0.029095841109821278,0.029529764230324267,0.03019853544424916,0.05474863290387137,0.05622822363061229,0.057297131399397704,0.058330458363857446,0.05995205858746783
16.0,0.9299597866194106,0.9316047658997094,0.9326437251056928,0.9337341106597837,0.9352535751519456,0.028695391043957637,0.02934521000358332,0.029816265458040836,0.03027035752148661,0.030981365130656597,0.05583831127536038,0.057355562454115536,0.05848498695948775,0.05958032536211312,0.06125932724271669
17.0,0.9284561793227666,0.9301740583120426,0.9312721574037381,0.9324037376076383,0.9339437753854424,0.029311021082675734,0.0299826137256303,0.030472007451480584,0.03094130157731216,0.031680308803575793,0.05681394969370971,0.05839724443022873,0.059551494851607434,0.06067425058154445,0.06239520969334228
18.0,0.9271550095567956,0.9288936620958463,0.9300360543267638,0.931198691443737,0.9328005706471284,0.02986567490783779,0.03055615158429064,0.031065335944147093,0.03156354856112166,0.03232574396799981,0.05771633141670023,0.05933367785334197,0.060510934212187645,0.06166464157861879,0.06341096345916436
19.0,0.9259859186955366,0.9277519739191137,0.9289247289178466,0.9301331518578625,0.9317601577162723,0.030364337434123253,0.031077983201108297,0.031599872315651104,0.032115813090353815,0.03288562843822191,0.058450374790925824,0.06013330291318052,0.06136484302128402,0.06253589670836046,0.06436129202747203
20.0,0.9249117968211099,0.9267232272083339,0.9279327642621698,0.9291879996079628,0.9308607512722317,0.030810278711298097,0.031534559255520615,0.032078904139353215,0.03260635557984242,0.03338713419112296,0.059156157989948624,0.06083426806905511,0.06212925556808799,0.06336498127595748,0.06519214694756795
21.0,0.923965949853963,0.9257793730156656,0.9270406333606133,0.928321840738068,0.9300608988044972,0.03119589442194537,0.031946483022835946,0.032508166742674004,0.03305112347313988,0.033856056484196456,0.05981036464116128,0.06156613754363061,0.06283827909527966,0.06408379080094624,0.06594880100590036
22.0,0.9230757556395071,0.9249518017080124,0.9262317053790291,0.9275441015714609,0.9292952284439382,0.03154050340598819,0.032325599959559005,0.03289569402779408,0.03345573995781164,0.03427126928828891,0.060380222230409696,0.06216540320028412,0.0634674029773588,0.06475225394609421,0.06661976978120657
23.0,0.9222825754686935,0.9241964467445614,0.9255061291161478,0.9268267630626456,0.9286357712414225,0.03187089290395926,0.03266452005095061,0.033244914924315555,0.03382126373877848,0.034669387021778006,0.06090927700251744,0.06269773597103312,0.06403588546152209,0.06536002183390749,0.06732068253046242
24.0,0.9215546348490579,0.9235109149598196,0.9248543133629136,0.926197312388539,0.9280714164762253,0.032146638439458156,0.032968232777731386,0.03355881385550689,0.03414497417835343,0.035003527938453134,0.06129671041212079,0.06318353288546921,0.064541713087017,0.06587784806012369,0.06785948976795388
